iter	Passed	Remaining
0	385	461654
1	511	306352
2	611	243942
3	676	202342
4	761	182076
5	838	166780
6	933	159153
7	1038	154695
8	1125	148983
9	1193	142081
10	1269	137274
11	1331	131794
12	1398	127706
13	1476	125046
14	1550	122474
15	1610	119197
16	1681	117007
17	1774	116535
18	1868	116146
19	1965	115935
20	2058	115582
21	2130	114090
22	2219	113597
23	2363	115820
24	2459	115600
25	2534	114422
26	2608	113344
27	2681	112256
28	2800	113082
29	2892	112819
30	2960	111632
31	3023	110342
32	3092	109371
33	3163	108499
34	3238	107780
35	3333	107773
36	3410	107186
37	3491	106772
38	3563	106074
39	3630	105285
40	3699	104568
41	3781	104271
42	3846	103504
43	3916	102898
44	3989	102396
45	4067	102039
46	4135	101462
47	4230	101535
48	4307	101187
49	4380	100742
50	4447	100194
51	4516	99709
52	4585	99240
53	4664	99001
54	4738	98641
55	4804	98153
56	4868	97627
57	4947	97413
58	5018	97044
59	5094	96798
60	5166	96470
61	5228	95971
62	5311	95855
63	5387	95629
64	5466	95456
65	5543	95254
66	5619	95033
67	5691	94748
68	5760	94418
69	5836	94223
70	5915	94066
71	6005	94084
72	6084	93928
73	6148	93561
74	6216	93246
75	6297	93140
76	6379	93041
77	6465	92997
78	6539	92801
79	6624	92747
80	6699	92551
81	6767	92268
82	6852	92224
83	6930	92072
84	7010	91963
85	7087	91812
86	7162	91635
87	7230	91370
88	7329	91497
89	7409	91378
90	7496	91354
91	7584	91338
92	7659	91173
93	7741	91086
94	7829	91065
95	7984	91823
96	8063	91691
97	8138	91520
98	8221	91435
99	8294	91244
100	8374	91129
101	8462	91096
102	8539	90949
103	8616	90800
104	8701	90742
105	8781	90628
106	8876	90669
107	8949	90490
108	9029	90379
109	9095	90127
110	9169	89964
111	9257	89926
112	9336	89809
113	9431	89851
114	9512	89752
115	9617	89874
116	9707	89852
117	9792	89795
118	9866	89627
119	9951	89567
120	10032	89464
121	10121	89437
122	10206	89365
123	10304	89414
124	10389	89347
125	10462	89183
126	10553	89161
127	10633	89057
128	10710	88925
129	10782	88748
130	10868	88691
131	10952	88618
132	11040	88569
133	11113	88410
134	11190	88277
135	11270	88175
136	11352	88087
137	11400	87732
138	11473	87578
139	11559	87518
140	11643	87451
141	11720	87326
142	11802	87240
143	11910	87347
144	11986	87212
145	12057	87041
146	12081	86539
147	12152	86380
148	12234	86295
149	12329	86305
150	12408	86203
151	12491	86123
152	12588	86145
153	12687	86178
154	12793	86250
155	12884	86225
156	12973	86186
157	13062	86145
158	13134	85992
159	13225	85963
160	13303	85856
161	13400	85860
162	13487	85806
163	13563	85683
164	13651	85630
165	13736	85564
166	13821	85494
167	13900	85386
168	13981	85294
169	14048	85117
170	14134	85057
171	14217	84975
172	14392	85438
173	14497	85485
174	14610	85577
175	14688	85459
176	14913	86192
177	14959	85890
178	15059	85900
179	15157	85894
180	15244	85822
181	15329	85742
182	15421	85701
183	15510	85644
184	15578	85470
185	15657	85356
186	15741	85274
187	15819	85155
188	15910	85108
189	15997	85037
190	16080	84946
191	16158	84832
192	16249	84781
193	16337	84721
194	16441	84738
195	16547	84764
196	16700	85028
197	16768	84859
198	16843	84726
199	16906	84533
200	16983	84412
201	17062	84299
202	17222	84585
203	17327	84599
204	17394	84427
205	17460	84250
206	17541	84147
207	17611	83991
208	17694	83900
209	17768	83766
210	17858	83707
211	17949	83652
212	18034	83570
213	18117	83474
214	18206	83412
215	18279	83273
216	18363	83186
217	18441	83069
218	18511	82923
219	18590	82811
220	18670	82705
221	18752	82611
222	18833	82514
223	18917	82424
224	18996	82318
225	19074	82206
226	19150	82087
227	19226	81964
228	19299	81833
229	19377	81724
230	19401	81387
231	19478	81270
232	19570	81223
233	19664	81179
234	19749	81098
235	19775	80776
236	19848	80650
237	19935	80579
238	20022	80508
239	20112	80448
240	20180	80303
241	20257	80192
242	20339	80103
243	20408	79962
244	20502	79917
245	20520	79581
246	20596	79465
247	20675	79368
248	20753	79264
249	20838	79187
250	20930	79137
251	21006	79023
252	21099	78978
253	21175	78867
254	21264	78804
255	21352	78737
256	21441	78674
257	21511	78543
258	21660	78697
259	21846	78985
260	21939	78933
261	22014	78816
262	22085	78684
263	22173	78614
264	22258	78535
265	22331	78412
266	22410	78310
267	22470	78143
268	22558	78073
269	22642	77992
270	22713	77862
271	22800	77789
272	22841	77562
273	22914	77440
274	22959	77228
275	23032	77108
276	23115	77023
277	23195	76929
278	23273	76826
279	23363	76766
280	23448	76686
281	23524	76579
282	23591	76443
283	23689	76406
284	23771	76317
285	23855	76238
286	23937	76150
287	24016	76051
288	24100	75971
289	24192	75913
290	24282	75852
291	24369	75777
292	24449	75685
293	24545	75639
294	24652	75628
295	24727	75519
296	24814	75447
297	24896	75358
298	24983	75284
299	25120	75362
300	25229	75353
301	25327	75312
302	25417	75245
303	25520	75217
304	25615	75166
305	25694	75067
306	25762	74938
307	25849	74863
308	25925	74756
309	26019	74699
310	26113	74645
311	26202	74576
312	26308	74553
313	26388	74458
314	26472	74376
315	26568	74324
316	26645	74220
317	26731	74141
318	26804	74028
319	26902	73981
320	26979	73878
321	27059	73782
322	27139	73689
323	27218	73589
324	27301	73505
325	27371	73381
326	27460	73313
327	27573	73304
328	27656	73218
329	27746	73150
330	27858	73139
331	27967	73120
332	28106	73178
333	28286	73341
334	28366	73244
335	28470	73209
336	28546	73102
337	28623	72998
338	28706	72909
339	28783	72805
340	28910	72826
341	29139	73103
342	29312	73237
343	29456	73299
344	29606	73372
345	29727	73373
346	29823	73313
347	29908	73225
348	29987	73121
349	30052	72984
350	30122	72860
351	30205	72768
352	30281	72658
353	30353	72538
354	30428	72428
355	30507	72327
356	30571	72188
357	30662	72117
358	30738	72009
359	30815	71903
360	30890	71793
361	30963	71677
362	31032	71554
363	31103	71435
364	31204	71386
365	31270	71255
366	31350	71157
367	31436	71074
368	31520	70985
369	31622	70937
370	31716	70871
371	31802	70786
372	31895	70717
373	31965	70597
374	32036	70480
375	32116	70383
376	32192	70277
377	32272	70179
378	32348	70075
379	32424	69968
380	32515	69895
381	32589	69785
382	32670	69690
383	32745	69583
384	32828	69493
385	32912	69405
386	32997	69320
387	33075	69220
388	33164	69143
389	33246	69049
390	33308	68916
391	33378	68800
392	33459	68706
393	33536	68604
394	33621	68518
395	33701	68424
396	33783	68332
397	33828	68167
398	33897	68049
399	33981	67962
400	34058	67862
401	34134	67759
402	34207	67651
403	34281	67545
404	34366	67461
405	34443	67359
406	34517	67253
407	34622	67207
408	34713	67134
409	34837	67126
410	35018	67225
411	35126	67184
412	35202	67081
413	35293	67006
414	35367	66900
415	35444	66799
416	35537	66727
417	35611	66622
418	35688	66522
419	35777	66444
420	35863	66361
421	35923	66228
422	36008	66143
423	36082	66036
424	36158	65935
425	36229	65824
426	36315	65741
427	36398	65654
428	36470	65545
429	36546	65443
430	36631	65358
431	36706	65255
432	36781	65152
433	36867	65071
434	36926	64939
435	37007	64847
436	37087	64754
437	37158	64645
438	37220	64521
439	37297	64423
440	37371	64319
441	37423	64179
442	37519	64113
443	37603	64027
444	37678	63925
445	37757	63831
446	37832	63731
447	37911	63637
448	37997	63555
449	38053	63422
450	38117	63303
451	38180	63183
452	38249	63074
453	38318	62964
454	38395	62867
455	38472	62771
456	38542	62663
457	38598	62532
458	38667	62424
459	38737	62317
460	38804	62204
461	38884	62114
462	38970	62032
463	39035	61919
464	39099	61801
465	39163	61686
466	39226	61569
467	39293	61459
468	39370	61364
469	39438	61255
470	39516	61161
471	39597	61073
472	39667	60969
473	39747	60879
474	39840	60809
475	39923	60724
476	40011	60645
477	40096	60564
478	40194	60501
479	40263	60395
480	40329	60284
481	40394	60173
482	40461	60064
483	40524	59948
484	40595	59846
485	40654	59727
486	40726	59625
487	40791	59515
488	40880	59439
489	40964	59356
490	41046	59271
491	41132	59191
492	41208	59095
493	41282	58998
494	41338	58875
495	41426	58798
496	41505	58709
497	41583	58617
498	41666	58533
499	41742	58438
500	41829	58360
501	41904	58265
502	41967	58153
503	42044	58061
504	42117	57964
505	42183	57856
506	42259	57763
507	42327	57658
508	42409	57573
509	42471	57461
510	42552	57375
511	42615	57265
512	42685	57163
513	42761	57071
514	42836	56977
515	42913	56885
516	43000	56806
517	43066	56701
518	43131	56593
519	43207	56502
520	43283	56410
521	43349	56304
522	43421	56206
523	43501	56120
524	43574	56023
525	43648	55929
526	43724	55838
527	43787	55729
528	43858	55631
529	43943	55551
530	44027	55469
531	44109	55385
532	44179	55286
533	44253	55192
534	44336	55109
535	44424	55032
536	44521	54968
537	44606	54887
538	44681	54795
539	44752	54697
540	44825	54602
541	44894	54502
542	44962	54401
543	45042	54315
544	45123	54230
545	45229	54176
546	45310	54090
547	45382	53995
548	45464	53911
549	45540	53820
550	45621	53735
551	45701	53649
552	45770	53551
553	45847	53461
554	45915	53360
555	45984	53262
556	46070	53183
557	46147	53094
558	46208	52987
559	46282	52893
560	46354	52799
561	46423	52701
562	46494	52605
563	46572	52518
564	46632	52410
565	46702	52313
566	46775	52220
567	46851	52130
568	46932	52046
569	47009	51957
570	47093	51876
571	47169	51787
572	47252	51705
573	47333	51621
574	47407	51530
575	47495	51453
576	47581	51374
577	47646	51273
578	47715	51176
579	47792	51088
580	47861	50991
581	47931	50896
582	48010	50810
583	48075	50710
584	48168	50638
585	48246	50551
586	48333	50474
587	48414	50390
588	48493	50304
589	48558	50205
590	48637	50118
591	48708	50024
592	48778	49930
593	48850	49837
594	48927	49750
595	48985	49642
596	49057	49550
597	49124	49453
598	49194	49358
599	49280	49280
600	49439	49275
601	49512	49183
602	49585	49091
603	49671	49013
604	49738	48916
605	49811	48824
606	49883	48733
607	49971	48656
608	50054	48575
609	50126	48482
610	50195	48387
611	50279	48308
612	50364	48228
613	50444	48143
614	50516	48052
615	50599	47970
616	50672	47880
617	50761	47804
618	50846	47725
619	50919	47634
620	51004	47554
621	51072	47459
622	51153	47376
623	51231	47290
624	51300	47196
625	51369	47102
626	51442	47012
627	51517	46923
628	51601	46843
629	51698	46775
630	51788	46699
631	51863	46611
632	51938	46522
633	52012	46434
634	52096	46353
635	52167	46261
636	52251	46181
637	52326	46092
638	52395	46000
639	52471	45912
640	52544	45822
641	52614	45730
642	52700	45652
643	52778	45566
644	52862	45486
645	52928	45390
646	53001	45300
647	53076	45213
648	53157	45130
649	53235	45045
650	53299	44948
651	53372	44859
652	53445	44769
653	53524	44685
654	53600	44599
655	53687	44521
656	53756	44429
657	53828	44338
658	53950	44290
659	54032	44208
660	54138	44146
661	54221	44064
662	54309	43988
663	54427	43935
664	54505	43850
665	54585	43767
666	54671	43687
667	54777	43625
668	54878	43558
669	54980	43492
670	55089	43431
671	55178	43354
672	55263	43274
673	55355	43200
674	55447	43125
675	55530	43044
676	55616	42965
677	55697	42882
678	55776	42797
679	55852	42710
680	55930	42625
681	56022	42550
682	56107	42470
683	56200	42397
684	56278	42311
685	56358	42227
686	56459	42159
687	56545	42080
688	56626	41997
689	56707	41914
690	56784	41828
691	56862	41743
692	56955	41668
693	57037	41586
694	57185	41552
695	57321	41508
696	57444	41455
697	57527	41373
698	57607	41289
699	57681	41200
700	57770	41123
701	57846	41036
702	57932	40956
703	58026	40882
704	58113	40803
705	58196	40721
706	58287	40644
707	58366	40559
708	58450	40478
709	58540	40401
710	58627	40321
711	58702	40234
712	58788	40154
713	58875	40074
714	58947	39985
715	59019	39895
716	59096	39809
717	59177	39726
718	59247	39635
719	59337	39558
720	59415	39473
721	59497	39390
722	59597	39319
723	59692	39245
724	59794	39175
725	59884	39098
726	59972	39019
727	60062	38941
728	60140	38856
729	60222	38773
730	60308	38693
731	60402	38617
732	60474	38528
733	60547	38440
734	60610	38345
735	60689	38260
736	60762	38172
737	60838	38085
738	60931	38009
739	61023	37933
740	61123	37861
741	61210	37782
742	61297	37702
743	61370	37613
744	61461	37536
745	61534	37448
746	61608	37361
747	61693	37279
748	61772	37195
749	61863	37118
750	61950	37038
751	62027	36952
752	62119	36875
753	62210	36798
754	62285	36711
755	62375	36633
756	62449	36545
757	62537	36466
758	62617	36382
759	62684	36290
760	62755	36202
761	62814	36106
762	62898	36024
763	62980	35941
764	63069	35863
765	63135	35771
766	63226	35693
767	63307	35610
768	63401	35534
769	63493	35457
770	63589	35382
771	63668	35298
772	63765	35223
773	63878	35158
774	64015	35105
775	64113	35031
776	64217	34960
777	64302	34878
778	64387	34797
779	64502	34731
780	64595	34655
781	64698	34583
782	64799	34510
783	64892	34432
784	65028	34377
785	65135	34307
786	65253	34243
787	65384	34185
788	65508	34123
789	65634	34063
790	65754	33999
791	65881	33939
792	66029	33889
793	66159	33829
794	66278	33764
795	66484	33743
796	66703	33728
797	66822	33662
798	66964	33608
799	67138	33569
800	67297	33522
801	67530	33512
802	67694	33467
803	67827	33407
804	67977	33355
805	68124	33301
806	68259	33241
807	68426	33197
808	68668	33188
809	68870	33159
810	69044	33117
811	69240	33085
812	69401	33036
813	69519	32966
814	69627	32891
815	69763	32829
816	69866	32752
817	69957	32669
818	70054	32589
819	70159	32513
820	70276	32441
821	70385	32367
822	70484	32287
823	70596	32213
824	70683	32129
825	70769	32043
826	70872	31965
827	70964	31882
828	71081	31810
829	71179	31730
830	71279	31651
831	71365	31565
832	71449	31478
833	71551	31400
834	71681	31333
835	71779	31253
836	71857	31164
837	71952	31082
838	72047	30999
839	72159	30925
840	72261	30846
841	72343	30758
842	72441	30678
843	72535	30595
844	72657	30524
845	72758	30444
846	72875	30372
847	72971	30290
848	73081	30213
849	73214	30147
850	73328	30072
851	73429	29992
852	73526	29910
853	73647	29838
854	73738	29754
855	73831	29670
856	73918	29584
857	74000	29496
858	74103	29416
859	74202	29336
860	74295	29252
861	74398	29172
862	74488	29087
863	74587	29006
864	74678	28921
865	74777	28840
866	74886	28762
867	74988	28682
868	75085	28599
869	75175	28514
870	75290	28439
871	75393	28359
872	75488	28275
873	75601	28199
874	75692	28114
875	75787	28031
876	75895	27952
877	75998	27872
878	76118	27797
879	76219	27716
880	76312	27632
881	76408	27548
882	76496	27462
883	76596	27380
884	76698	27299
885	76843	27233
886	76937	27149
887	77034	27066
888	77122	26979
889	77266	26913
890	77441	26856
891	77651	26812
892	77755	26731
893	77845	26645
894	77937	26559
895	78117	26504
896	78348	26465
897	78532	26410
898	78643	26331
899	78763	26254
900	78881	26177
901	78989	26096
902	79073	26007
903	79136	25911
904	79218	25822
905	79301	25733
906	79364	25638
907	79447	25549
908	79532	25461
909	79620	25373
910	79713	25287
911	79791	25197
912	79882	25110
913	79973	25024
914	80048	24933
915	80127	24843
916	80203	24751
917	80286	24663
918	80361	24571
919	80460	24488
920	80547	24400
921	80623	24309
922	80702	24219
923	80791	24132
924	80870	24042
925	80968	23958
926	81057	23871
927	81142	23783
928	81211	23690
929	81292	23601
930	81364	23509
931	81455	23422
932	81551	23337
933	81671	23259
934	81796	23183
935	81989	23125
936	82124	23050
937	82243	22972
938	82337	22886
939	82439	22802
940	82516	22711
941	82606	22624
942	82683	22533
943	82770	22446
944	82869	22361
945	83005	22286
946	83122	22206
947	83242	22127
948	83334	22041
